,label
13620,not clickbait
15394,not clickbait
2796,clickbait
1673,clickbait
13020,clickbait
8961,clickbait
3152,not clickbait
6631,not clickbait
3892,not clickbait
14778,clickbait
14782,not clickbait
10721,clickbait
15642,not clickbait
3456,clickbait
9645,clickbait
2762,clickbait
8249,not clickbait
1420,not clickbait
5977,clickbait
10742,clickbait
119,clickbait
11303,not clickbait
9571,clickbait
10290,clickbait
12743,not clickbait
7181,not clickbait
13838,clickbait
4586,clickbait
9994,clickbait
14162,not clickbait
9841,clickbait
7125,clickbait
4774,not clickbait
2754,clickbait
9325,clickbait
12388,not clickbait
11564,not clickbait
4501,not clickbait
13787,not clickbait
8026,not clickbait
13258,not clickbait
10623,not clickbait
3267,clickbait
14854,clickbait
11784,clickbait
5472,clickbait
12842,clickbait
4604,not clickbait
10763,not clickbait
6049,clickbait
15200,not clickbait
6010,not clickbait
12406,clickbait
5243,clickbait
12359,not clickbait
1049,not clickbait
8182,clickbait
5707,clickbait
4337,not clickbait
8487,clickbait
7342,clickbait
4515,clickbait
5745,not clickbait
12549,not clickbait
714,not clickbait
11427,not clickbait
14603,clickbait
3854,clickbait
4683,not clickbait
4432,clickbait
6061,clickbait
8895,not clickbait
3785,not clickbait
3793,not clickbait
6109,clickbait
12927,not clickbait
4736,clickbait
4565,clickbait
7441,not clickbait
8178,clickbait
4270,not clickbait
5072,clickbait
5109,clickbait
13245,not clickbait
5669,clickbait
8216,not clickbait
1667,clickbait
6726,clickbait
6717,not clickbait
8604,not clickbait
11462,clickbait
4649,clickbait
607,not clickbait
7525,not clickbait
9092,not clickbait
11001,clickbait
763,not clickbait
14277,not clickbait
1068,clickbait
4496,clickbait
14025,clickbait
12568,not clickbait
7096,clickbait
760,clickbait
571,clickbait
14860,clickbait
3977,not clickbait
14276,not clickbait
3552,not clickbait
13019,clickbait
2742,clickbait
6434,clickbait
8700,clickbait
3873,clickbait
5799,not clickbait
9730,clickbait
9779,clickbait
5214,not clickbait
10100,not clickbait
6894,clickbait
2891,clickbait
1951,not clickbait
3288,clickbait
334,not clickbait
2279,not clickbait
15147,not clickbait
112,clickbait
11599,clickbait
3959,clickbait
538,clickbait
2690,clickbait
5490,clickbait
10059,clickbait
11052,clickbait
10021,clickbait
9642,not clickbait
5165,not clickbait
15009,clickbait
1304,clickbait
13627,clickbait
2029,not clickbait
3151,clickbait
7190,not clickbait
1536,not clickbait
13606,clickbait
1954,clickbait
13331,not clickbait
4391,not clickbait
6511,clickbait
3433,clickbait
3222,clickbait
12827,clickbait
1261,clickbait
7239,not clickbait
6437,not clickbait
10164,not clickbait
8752,not clickbait
5012,not clickbait
1991,clickbait
14299,not clickbait
11252,not clickbait
10767,clickbait
85,not clickbait
7150,not clickbait
2811,not clickbait
6647,not clickbait
12811,not clickbait
8767,not clickbait
14186,clickbait
7135,not clickbait
8272,clickbait
7346,not clickbait
546,clickbait
14829,not clickbait
10636,not clickbait
12867,not clickbait
4490,not clickbait
12835,not clickbait
5521,clickbait
14737,clickbait
8828,not clickbait
13718,not clickbait
13996,clickbait
13016,clickbait
6887,not clickbait
3562,not clickbait
7158,not clickbait
13670,not clickbait
8044,clickbait
9920,not clickbait
2092,not clickbait
12438,clickbait
3532,not clickbait
11417,clickbait
15042,not clickbait
6572,not clickbait
46,clickbait
6815,not clickbait
5235,clickbait
1604,clickbait
14633,clickbait
6593,not clickbait
14708,not clickbait
13249,not clickbait
3469,not clickbait
5510,not clickbait
6684,clickbait
12557,not clickbait
8323,clickbait
4233,not clickbait
10406,clickbait
12708,clickbait
3090,clickbait
14642,not clickbait
3181,clickbait
1376,not clickbait
267,not clickbait
8329,not clickbait
6004,not clickbait
1989,clickbait
10383,not clickbait
145,clickbait
2533,clickbait
10265,clickbait
11680,not clickbait
2732,clickbait
3609,clickbait
5391,clickbait
12303,clickbait
12237,not clickbait
12955,not clickbait
8555,clickbait
6844,not clickbait
11994,not clickbait
5884,clickbait
142,not clickbait
6016,clickbait
11444,not clickbait
11870,clickbait
9971,clickbait
9068,not clickbait
3919,clickbait
1654,clickbait
9355,clickbait
7564,not clickbait
7732,not clickbait
4709,not clickbait
3418,not clickbait
15,not clickbait
6378,clickbait
2030,clickbait
9,not clickbait
13561,not clickbait
7315,not clickbait
12323,clickbait
4554,clickbait
12865,not clickbait
12734,clickbait
7249,clickbait
14912,not clickbait
8624,clickbait
8784,not clickbait
9088,not clickbait
7059,clickbait
14457,clickbait
9566,clickbait
3894,not clickbait
2115,not clickbait
6392,not clickbait
4680,clickbait
11452,not clickbait
9175,clickbait
4459,not clickbait
4074,not clickbait
11701,not clickbait
8430,not clickbait
11612,not clickbait
13584,clickbait
12250,clickbait
4006,clickbait
5682,clickbait
9376,not clickbait
9947,not clickbait
6705,clickbait
6041,not clickbait
3118,not clickbait
12806,clickbait
12693,clickbait
6022,not clickbait
3062,clickbait
3474,clickbait
7444,clickbait
11264,clickbait
9755,not clickbait
8607,not clickbait
3047,not clickbait
14884,clickbait
13473,clickbait
11010,not clickbait
6319,clickbait
9889,not clickbait
14774,not clickbait
14953,clickbait
850,not clickbait
14107,not clickbait
2343,clickbait
11462,not clickbait
13572,not clickbait
177,clickbait
13394,not clickbait
12037,clickbait
1917,not clickbait
14819,clickbait
6579,not clickbait
7091,clickbait
8087,not clickbait
1872,not clickbait
15412,not clickbait
6339,not clickbait
6613,clickbait
9925,not clickbait
4008,clickbait
9571,not clickbait
11185,not clickbait
12519,not clickbait
11257,clickbait
415,not clickbait
4998,clickbait
5789,clickbait
7414,not clickbait
4017,not clickbait
3166,clickbait
4503,clickbait
7971,clickbait
14249,not clickbait
6673,clickbait
7253,clickbait
10496,not clickbait
348,clickbait
5890,not clickbait
6473,clickbait
7208,not clickbait
3187,not clickbait
9158,not clickbait
2741,clickbait
10726,not clickbait
607,clickbait
245,clickbait
15916,not clickbait
1715,clickbait
10326,clickbait
1414,clickbait
10911,clickbait
3336,not clickbait
2916,not clickbait
14116,not clickbait
3377,clickbait
3623,clickbait
12410,clickbait
4084,not clickbait
6748,not clickbait
2212,clickbait
13082,not clickbait
6605,clickbait
2348,not clickbait
12178,not clickbait
2791,clickbait
6077,not clickbait
1698,clickbait
6038,not clickbait
7774,not clickbait
8150,not clickbait
